username,user id,access hash,group,group id
,5613713874,6149098855628699330,Moneywithbotsgroupchat,1555717294
BinanceBot_pay,1110321086,789496292521564464,Moneywithbotsgroupchat,1555717294
Uncomm0n,1409026138,5296823042602794108,Moneywithbotsgroupchat,1555717294
EnvInMad,5469969644,1593214479960128151,Moneywithbotsgroupchat,1555717294
davincixyy,5289598273,-9013254585951838445,Moneywithbotsgroupchat,1555717294
,5419235092,-5736930382217799487,Moneywithbotsgroupchat,1555717294
degenGenZ,1425167851,4830476047196200614,Moneywithbotsgroupchat,1555717294
italiabyq,5365999056,-873994248070239609,Moneywithbotsgroupchat,1555717294
UselessLogger,1639228302,3003442795988790449,Moneywithbotsgroupchat,1555717294
suresheu1,851729922,-3986473511737031724,Moneywithbotsgroupchat,1555717294
Yep865,5614565734,-656677243131423656,Moneywithbotsgroupchat,1555717294
web3script,5207366711,-5069810581559784659,Moneywithbotsgroupchat,1555717294
ClutchrPlayZ,5198548918,-2585509642312136763,Moneywithbotsgroupchat,1555717294
Vira77X,5704177832,-5549941147912229957,Moneywithbotsgroupchat,1555717294
Crypto_james1,5405915394,4642073121261781274,Moneywithbotsgroupchat,1555717294
akeelazrael,1750892690,4049477403662527628,Moneywithbotsgroupchat,1555717294
,5460132600,5346111330549581024,Moneywithbotsgroupchat,1555717294
bzeddicus,1090936880,-8478496314969571108,Moneywithbotsgroupchat,1555717294
natalie879,2063237205,4045769009924041564,Moneywithbotsgroupchat,1555717294
spirostealth,5487099661,-4933137350909183891,Moneywithbotsgroupchat,1555717294
VASK_O,5460576538,1201908521873078576,Moneywithbotsgroupchat,1555717294
runner1122,507755474,4030924825953990177,Moneywithbotsgroupchat,1555717294
,5594123374,-3913683566664239304,Moneywithbotsgroupchat,1555717294
zhyzes,5543081064,409237054831082843,Moneywithbotsgroupchat,1555717294
,5180682629,-3683586605530676667,Moneywithbotsgroupchat,1555717294
,1471842486,3675037806324549106,Moneywithbotsgroupchat,1555717294
,5732392933,5864370095313209841,Moneywithbotsgroupchat,1555717294
I5555Ami,5167882716,-5349915116882140393,Moneywithbotsgroupchat,1555717294
Crypo0o9,5690669894,1152455637046016885,Moneywithbotsgroupchat,1555717294
,1737268610,-6477531287725849638,Moneywithbotsgroupchat,1555717294
,1768862540,-3537255049748626141,Moneywithbotsgroupchat,1555717294
THEtarusDEV,5047449509,2326751626868834554,Moneywithbotsgroupchat,1555717294
Mikeysamahv,1769916161,-1227813437350720059,Moneywithbotsgroupchat,1555717294
read039,5554847646,7111899924209126331,Moneywithbotsgroupchat,1555717294
cyberhubs,5780129789,-7602591512765044553,Moneywithbotsgroupchat,1555717294
,5709749412,-6039250693919663277,Moneywithbotsgroupchat,1555717294
impala_draco,631702251,-2297411118601643329,Moneywithbotsgroupchat,1555717294
Dman133,1892771962,-2378753405320977425,Moneywithbotsgroupchat,1555717294
,5277090403,5776322769196938649,Moneywithbotsgroupchat,1555717294
usersploit1,5085106055,7583589032462978915,Moneywithbotsgroupchat,1555717294
tweetbleubadge,5733174113,3239916347280097674,Moneywithbotsgroupchat,1555717294
MGH88123,512792551,-3023103675546891902,Moneywithbotsgroupchat,1555717294
CashoutAU,5368551372,4594256638396862064,Moneywithbotsgroupchat,1555717294
,5397639684,-8842912981007344162,Moneywithbotsgroupchat,1555717294
ngahu242,1228816986,2885672152336166282,Moneywithbotsgroupchat,1555717294
ChiefBSC,5495943303,-7807232116767254531,Moneywithbotsgroupchat,1555717294
,5515020520,-8770549290540488587,Moneywithbotsgroupchat,1555717294
Facuxx13,1544886114,-4114887431019246029,Moneywithbotsgroupchat,1555717294
,5492763147,-2091982685711487894,Moneywithbotsgroupchat,1555717294
Tk369,1949245779,2268608674276665778,Moneywithbotsgroupchat,1555717294
heylien,1322044003,6349556861536821042,Moneywithbotsgroupchat,1555717294
moneywithbotsgithub,5009011483,1519063498374006283,Moneywithbotsgroupchat,1555717294
,5439690935,7409473125351316042,Moneywithbotsgroupchat,1555717294
,1630211944,-7738407873924099936,Moneywithbotsgroupchat,1555717294
pabbycrypt,5163104127,9218986685949301994,Moneywithbotsgroupchat,1555717294
JJ8888996,5360948216,4782851764043427499,Moneywithbotsgroupchat,1555717294
metamerch,403355163,-2856434374779662841,Moneywithbotsgroupchat,1555717294
Sauc0ny,5089651362,3115633151175720028,Moneywithbotsgroupchat,1555717294
killerpin007,5436379299,-851110640572830161,Moneywithbotsgroupchat,1555717294
captain_wasabi,5509766968,-2943567755616296520,Moneywithbotsgroupchat,1555717294
cryptkeey,722444897,-1227798853850284936,Moneywithbotsgroupchat,1555717294
SealedSaucer,2117492235,-2725854535407096527,Moneywithbotsgroupchat,1555717294
cyberghosted,5062812347,-4985424091539047118,Moneywithbotsgroupchat,1555717294
,1321430633,6801283618786573440,Moneywithbotsgroupchat,1555717294
Bitcoin_Boss,632156706,-934490029011045130,Moneywithbotsgroupchat,1555717294
RBAK1986,5213164196,-4086425584247864977,Moneywithbotsgroupchat,1555717294
Moneymarket221,1308221567,2705553652045878151,Moneywithbotsgroupchat,1555717294
